u"It isn't."	'Note to self: when eating at a BBQ place, get the stupid BBQ. This steak is awful :(\n'
u"It wasn't the best i've ever had, but it was still very good!"	"Use caution when eating their grilled shishito peppers! We ate the entire bowl and they were sweet and none were spicy. But shockingly, the very last 2 peppers were aggressively spicy, which we didn't expect all all. It ruined us!!! (even though we are devout spice eaters). The same thing happened to my friend that dined here as well. He ate one that was insanely spicy and it killed his taste buds. We didn't even know shishito peppers could be that spicy?? Whew\n"
u"I wouldn't say hidden because this place was packed and very popular with the locals and I, being a native of Cali, this place was a good find."	'Spicy Miso burger and salt n pepper fries\n'
u'Slightly disappointing since strawberries are my favorite.'	'Ready to finally check this place out! Already impressed with the menu.\n'
u"It's a shame because I did like the tops I picked."	'No happy hour specials.\n'
u'Had I had Kazi in there with me, much selfies could have been had.'	"Don't forget to grab a loyalty card!\n"
u"It's a little dinky but go for the food and not for the aesthetics."	'Have trouble deciding? Recommended drinks - Hokkaido Milk Tea with Egg Pudding, Peach Cheese Tea, Honey Aloe Tea\n'
u"I was a bit disappointed they didn't have any coconut flavor this time around, but from what I gather they change flavors every so often, so perhaps in the future."	"I came today and there's a big sign that says CLOSED ON MONDAYS. Someone adjust their hours on Yelp?\n"
u"I was a bit disappointed they didn't have any coconut flavor this time around, but from what I gather they change flavors every so often, so perhaps in the future."	"Most authentic milk tea in Arizona. The cheese topping isn't really cheeselike, it's a frothy, kinda salty and sweet cream - KINDA like cheesecake.\n"
u"You don't really have a choice in where your jury summons will be but hey if you gotta serve on a jury, this courthouse is a pretty good one!I had the pleasure of getting skincare treatment from Angel when she was working at another spa."	'$10 minimum to use credit card\n'
u"You don't really have a choice in where your jury summons will be but hey if you gotta serve on a jury, this courthouse is a pretty good one!I had the pleasure of getting skincare treatment from Angel when she was working at another spa."	'In the Village Inn shopping plaza between CVS and Liberty Tax\n'
u'The buffalo is a little salty for me, and they are so kind to change it to breakfast burrito for me.'	'My favorite place for milk tea! Definitely better then another place!\n'
u"So yeah, I was really happy with the tasty food, and we'll come by here sometime for dinner- I'm looking forward to it!You know, I probably spent an inordinate amount of time trying to come up with a joke about the name of this place that would reference a pleasure center in a bowl of soup... but so far I'm coming up with nothing."	'A placenta of orange chicken.\n'
u'It was good.'	'Trying different sushi all u can eat!\n'
u'If you are looking for a place to exercise in, I highly recommend TruFusion.The staff is knowledgeable, there are a huge variety of classes available for members to choose from, their on-line reservation system through the MindBody Connect app is simple to use, their cafe has an ample variety of healthy foods, and the locker rooms are clean and large.'	'All you can eat uni, sashimi, & oysters...are you kidding me? This place is unbelievable.\n'
u'If you are looking for a place to exercise in, I highly recommend TruFusion.The staff is knowledgeable, there are a huge variety of classes available for members to choose from, their on-line reservation system through the MindBody Connect app is simple to use, their cafe has an ample variety of healthy foods, and the locker rooms are clean and large.'	'Great service. Fun sushi chef.\n'
u'If you are looking for a place to exercise in, I highly recommend TruFusion.The staff is knowledgeable, there are a huge variety of classes available for members to choose from, their on-line reservation system through the MindBody Connect app is simple to use, their cafe has an ample variety of healthy foods, and the locker rooms are clean and large.'	'Oysters and uni oh my!\n'
u'If you are looking for a place to exercise in, I highly recommend TruFusion.The staff is knowledgeable, there are a huge variety of classes available for members to choose from, their on-line reservation system through the MindBody Connect app is simple to use, their cafe has an ample variety of healthy foods, and the locker rooms are clean and large.'	'They have seating areas for tepenyaki too.\n'
u"They have a great selection of desserts but I wish they would label what they all are as they seem to get annoyed when you ask what's inside."	'Make reservations on weekend nights. Also free parking!\n'
u"When you're in a hurry for lunch, they do it right."	"It's good if you like really really sweet things\n"
u"This high-end hair salon is located on the 3rd floor of Times Square, at Leslie and Highway 7 E. You'll need to make your way to the mini-mall entrance and take 2 flights of stairs up to find it."	'Keep an eye out for Groupon that they offer occasionally, high tea for 2 at half price (25$).\n'
u'Absolutely awful!'	'Ask for Marcus to work the steam pots and be sure to order the Lobster Bisk && Calamari.\n'
u"I wasn't in it."	'Linzer tart!\n'
u"I wasn't in it."	'Oh. My. Gosh. Maple bacon bar... Somebody help me.\n'
u"This is probably the cleanest DD I've been in."	"Fresh baked goods non-stop and they have one of my favorites....cannolis! Try anything....and it's so inexpensive!\n"
u"It's about time the city had an aquarium."	'Look no further for the best dumplings in Toronto.\n'
u"It's about time the city had an aquarium."	'The best dumplings on Spadina. And the fennel... Is actually dill\n'
u'Love it and will go back'	'Huge portions!\n'
u'I love everything about Uncle Tetsu and I only wish they will open more stores so there will be less line ups.Speedy service, great food and friendly staff.'	'Cash only!\n'
u"If you weren't a local, you probably wouldn't know it was here."	"Skip: Go down the street to Mother's Dumplings instead!\n"
u'This may be my new addiction.'	'It is so peaceful & quiet inside this waiting area I could take a nap! (-_-)\n'
u'The food is always great and cooked/seasoned very well.'	'Line to pick up/drop off is not too bad.\n'
u'My husband held a personal account for a while but was quick to close it downTheres a long wait list for appt.'	"They will start closing from 11pm to 6 am. Sure sign we're in the ghetto!\n"
u"On a final note: I can't comment on the small cash bar and snacks that are in the lobby during shows, because I never have the money to purchase these things - but, if you want to splurge, give them a go and let me know what you think!I am not a coffee person, at all - still, I have to admit, this place has a nice feel to it and is so cheap that it's probably just a step or two below nirvana for coffee drinkers."	'Absolutely unimpressed with the delivery team tonight. I could have walked there and back to get dinner by now.\n'
u"On a final note: I can't comment on the small cash bar and snacks that are in the lobby during shows, because I never have the money to purchase these things - but, if you want to splurge, give them a go and let me know what you think!I am not a coffee person, at all - still, I have to admit, this place has a nice feel to it and is so cheap that it's probably just a step or two below nirvana for coffee drinkers."	'Fellow Grubhub users, Katana offers free delivery through the service! Highly recommended.\n'
u"On a final note: I can't comment on the small cash bar and snacks that are in the lobby during shows, because I never have the money to purchase these things - but, if you want to splurge, give them a go and let me know what you think!I am not a coffee person, at all - still, I have to admit, this place has a nice feel to it and is so cheap that it's probably just a step or two below nirvana for coffee drinkers."	'Nothing like picking up dinner and having to jump around a staff member\'s child as they ride a bicycle around the place. Definitely sticking to my "no sit down meals here" policy...\n'
u"On a final note: I can't comment on the small cash bar and snacks that are in the lobby during shows, because I never have the money to purchase these things - but, if you want to splurge, give them a go and let me know what you think!I am not a coffee person, at all - still, I have to admit, this place has a nice feel to it and is so cheap that it's probably just a step or two below nirvana for coffee drinkers."	'Two thumbs up for some of their special rolls - I love the phoenix and dragon rolls the most.\n'
